subject,message,label,
snow 3 1 / 2,"dear linguists , i ' ve been following the discussion about snowy words here and elsewhere for some time now , and i can't but disagree with douglas j . glick ( see vol-5 - 1322 ) in two points . for one , i do n't find the discussion "" relatively uninteresting "" . it is interesting indeed to see what kind of ideas about the issue as such and linguistics in general tonguesters ( or is l . more p . c . ? : - ) put forward . it so happened that i encountered this nice passage in a book i bought a few days ago : whereas english [ . . . ] has only one word for _ snow _ ( or two if we include _ sleet _ ) , eskimo has several . trudgill ( 1974 ) : 27 this is a book written for the general audience , by a native speaker of english , who "" has been a lecturer in the department of linguistic science at the university of reading since 1970 "" ( op . cit . ) , and it is twenty years old . but you sometimes still hear assertions like the above , and i know the same thing from german speakers . still , in german we have at least schnee , schnee ( - mann , - regen , matsch ) , ( schnee ) flocke , neuschnee , harsch , waechte , lawine , loipe , hagel , graupel , and for english , snow , snow ( bank , fort , house , man , - mixed-with - rain , - flake , - storm ) , slush ( snow ) , ( snow ) cornice , avalanche , blizzard , dusting , flurry , frost , hail , hardpack , igloo , pingo , powder , sleet . in these lists , i ' m including some at least seemingly semantically transparent compounds like neuschnee ( ` new + snow ' ) , schneeregen snow + rain ' ) and so on , as well as some words that are only frosty and not very snowy , as well as some that have only to do with snow and nothing else . in a serious collection , the data should be much richer , in order to have a borderline between good and bad examples fall well within the field , allow an assessment of the fuzzyness of this line , and , perhaps , discover some model for the cognitive structure of the words in question . ( the data for the english list is , apart from some editing , taken from tony woodbury 's posting ( see vol-5 - 1239 ) ) . granted not everything white in the listings given is snow , how can we comment on the quotation above ? at least , the writer should have told the reader why so many snowy words of english do not count as snow , or , perhaps , that eskimo in his opinion has no cover term , where english does have one . as it stands , however , it should make everybody very cautious about obtaining data of any language - - - including , obviously , their own - - - by way of secondary sources . likewise , how much do the manymany ` facts ' drawn from ` exotic ' ( i . e . , not very well documented ) languages count , which , for example , phonologists like to decorate their elaborate articles with ? two , i do n't really get the point in excluding words like cornice from a snowy list . now if there are people out there who use the word primarily to denote some sort of snow formation and feel the word is in its * architectural * meaning of rather metaphorical nature , what 's the point in telling them they ' re ` really ' wrong ? in german , waechte , flocke and harsch might very well be derived from some other morphemes . in fact , this only tells us eskimo is not very well documented . i guess a lot of those words the hoax claims as semantically primitive would turn out much more connected to the rest of the vocabulary had we only the relative wealth of historical data we have for the indoeuropean languages . back to german again , flocke to me primarily denotes not ` something flaky ' but rather precisely ` a snowflake ' , and all other usages seem to be derived from that . harsch seems to be connected with harsch ` harsh ' ; but used as a noun , what other denotation but that kind of slighly melted and frozen snow does it have ? loipe is the kind of tracks skiers use in their discipline and , i guess , not a ` very german ' word - - - but disregarding borrowed words is just as silly as looking down on adopted children . anyway , there seems to be a need for that word . it 's snowy , very specialized , and , for my feeling , totally unconnected with any other word in german . of course i might be totally wrong ( and loipe is derived from ( ski ) laufen ` to run ( to ski ) ' ) . now there 's the point . linguists are looking , on the one hand , into history to find out what really happened and try to extrapolate people 's minds to describe what 's really going on . if there 's someone with a lot of waechten and cornices and flakes on his mind , but with no connection to other non-snowy words for him , this is a fact of that ideolect . of course , as soon some linguist comes along and tells him the historical truth , behaviour and concepts of the speaker might change . . . even if in fact it was some sort of folk-etymology he absorbed when listening to the linguist : - ) . folk - etymology is there because it is a way we can imagine things to be . . . so , what layer of this person 's brain is it that synchronic word counting is claiming to acount for , and how historical a derivation is allowed or necessary in historical linguistics ? finally , i would like to point out that apart from some pretty specialized words having to do woth snow , rain is another phenomenon languages may have more or less to say about . in german , for example , you have niesel and nieselregen , denoting a very light rain or spray . there seem to be no other uses or compounds for this word apart from es nieselt , however , and no immediately related , more basic word niesel could be said to be derived from . so , we have wasser , regen , niesel , and more . eskimo does n't appear that much outlandish any more , does it ? quotation taken from : trudgill , peter : _ sociolinguistics : an introduction _ . penguin books . 1974 wolfgang lipp castor @ fub46 . zedat . fu-berlin . de i52023 @ sakura . kudpc . kyoto-u . ac . jp
",0,
ausschreibung professur universitaet heidelberg,"am sprachwissenschaftlichen institut der universitaet heidelberg ist ab sofort der lehrstuhl fuer allgemeine sprachwissenschaft ( nachfolge prof . dr . klaus heger ) zu besetzen . der bewerber / die bewerberin sollte sich mit den theoretischen und methodologische grundlagen der linguistik nicht nur im rahmen einer einzelsprache , sondern auch im rahmen typologisch unterschiedlicher sprachen beschaeftigt haben . er / sie sollte mit formalen methoden der sprachbeschreibung vertraut sein . seine / ihre forschung soll empirische untersuchungen von teilbereichen des sprachsystems einschliessen , z . b . der semantik . erwartet wird vom zukuenftigen stelleninhaber / der stelleninhaberin die organisation des studienganges allgemeine sprachwissenschaft sowie lehre und pruefungstaetigkeit auf dem gebiet "" empirische und theoretische linguistik "" innerhalb des studienganges computerlinguistik . habilitation oder gleichwertige qualifikation sind voraussetzung . bewerbungen mit den ueblichen unterlagen sind innerhalb von vier wochen zu richten an den dekan der neuphilologischen fakultaet der universitaet heidelberg , hauptstrasse 120 , 69117 heidelberg .
",0,
sum : english dialect sample sources,"these are the responses to my query about finding audio samples of dialects of english . thanks for the suggestions and comments below ; i take the liberty of quoting most of them in full . in addition to the items mentioned below , i managed to locate : ( 1 ) a 1971 bbc recording entitled "" english with a dialect "" which contains 24 short samples of british english dialects and 8 more of "" irish , scottish and welsh accents . "" the record jacket says that the record was produced "" to provide a tool of the actor 's craft , "" and for use in classrooms . i find it fascinating , and believe it will be extremely valuable to me . ( 2 ) a collection of cassettes with accompanying manual , entitled "" acting with an accent , "" by david a . stern . these are also aimed at actors who need to portray non-native english speakers . however , i found most of them not to be useful as classroom materials ; they stereotype the two or three most prominent pronunciation features of the various speakers when speaking english , rather than providing students with a real understanding of dialect , nor even of phonological interference mechanisms in second language learning . my other responses and comments are interpolated in the quotations , within [ ] . apologies for the length of this summary . louis b . hillman lbhndp @ rit . edu - - - - - - - - - - - - - - - - - - - - - - - - - - - - i ' ve found quite a lot of tapes that are available commercially as supplements ( bought separately ) to the following books : j . c . wells , accents of english . cambridge up 1992 . ( whole world ) a . hughes and p . trudgill , english accents and dialects . 2nd edition . arnold 1979 / 1987 . ( uk only ) d . freeborn , varieties of english . macmillan . 1987 . ( uk and w . indies only ; some fascinating material for other aspects of socio as well as accents . ) i think they ' re all available just like books . they tend to cost about 7 pounds sterling . - - - - - - - - - - - - - - - - - - - - - - - - - - - - the following resources will guide you to free and commercially available recordings of north american english dialects : donna christian , 1986 , american english speech recordings : a guide to collections . washington , d . c . : center for applied linguistics . michael d . linn and marrit - hannele zuber , 1984 , the sound of english : a bibliography of language recordings . urbana il , ncte . michael d . linn , 1993 , appendix : resources for research . in dennis r . preston ( ed . ) , american dialect research , amsterdam : benjamins , pp . 433-50 . a few other specifics which may not be mentioned in the above ( and if they are i apologize ) : 1 ) longish recordings from inland northern , brooklyn ny , eastern new england , south midland , phildelphia , and alabama were available on a record from ncte entitled ' americans speaking . ' there is an an accompanying booklet ( by raven mcdavid and john muri ) with the same title ; it has the texts for a reading passage , transcriptions of free conversation , and lists of features . it is dated 1967 and may be out of print , but it is worth a try at ncte . [ alice horning ( horning @ jupiter . acs . oakland . edu ) also mentioned this recording . i found a copy and i must warn you that this copy , at least , is in _ 78 _ rpm _ format ! ! no publication date . i plan to copy it - - as soon as i find suitable equipment . lh ] 2 ) there is an old record called ' our changing language ' jointly published by ncte and mcgraw - hill . it contains fifteen or more reading passages from all over the us and canada . if it is still available , it is well worth digging out ; it is the best selection of short samples i have heard . it is also by raven mcdavid and has good commentary on the record jacket . it has , as well , a lot of stuff on the history of english in general , but the dialect samples really cover the territory . ( the drawback is that they are old recordings and do not illustrate some on-going sound changes very dramatically , particualrly the northern cities shift . ) [ i found this recording ; in addition to the american dialect passages , it contains several interesting passages comparing british and american speech . it also contains readings from old english ( "" beowulf "" ) ; middle english ( chaucer ) ; and early modern english ( shakespeare ) . the narrator 's dialect is itself interesting , by the way , as an example of the "" radio announcer "" dialect of the period . published in 1965 ; 33rpm format . lh ] 3 ) there are some recordings which accompany two books : timothy shopen and joseph williams , 1980 , standards and dialects in english , cambridge ma : winthrop ; and diane bryen , cheryl hartmen , and pearl tait , 1978 , variant english , columbus oh : charles merrill . both are rather more sociolinguistically than geographically oriented . the christian , linn and zuber , and linn bibliographies will give you the best coverage of what is available in american english dialect recordings ( and , nicely , how to get them ) . more better : most are free . [ oh , yes ; free _ is _ the best price , is n't it ? lh ] - - - - - - - - - - - - - - - - - - - - - - - - - - - - there is a cassette that goes with trudgill and hannah 's international english : a guide to varieties of standard english which contains a passage in thirteen different dialects , ten of which are non - north american . - - - - - - - - - - - - - - - - - - - - - - - - - - - - what i have been using lately , for reasons of my own , are tapes of poetry readings ; the trick is to find poets who are good exemplars of various dialects . audio - forum and caedmon are the two biggest suppliers , i think . a - f 's address is 96 broad street , guilford ct , 06437 ; i do n't know caedmon 's offhand . - - - - - - - - - - - - - - - - - - - - - - - - - - - - the ohio state language files publishers , advocate publishing group of reynoldsburg , oh , used to have a set of tapes illustrating a range of dialects . - - - - - - - - - - - - - - - - - - - - - - - - - - - - just an idea . . . . you may be able to get some more samples of international english dialects by recording from short-wave broadcasts .
",0,
"following is a summary of answers to my query about a "" how-to ""","following is a summary of answers to my query about a "" how-to manual for intonational analysis . quite a few people wrote to ask to share any answers ; i hope this will help them . many people recommended the tobi labelling guide - - "" tobi "" stands for "" tone breaks and indices "" . it is an effort to provide a fairly uniform labelling system for naturally occurring speech , and was worked on by some well-known people in the field . ( i do n't know the full list of authors , so i won't cite them . ) some also pointed out ( what they considered ) limitations of the tobi system , but most agreed it was worth looking at . it comes in both an electronic , ftp - able version ( free ) and a paper version with audiocassette ( $ 25 ) . for more information , write to tobi @ ling . ohio-state . edu or tobi labelling guide , c / o mary beckman ohio state university , linguistics dept . 222 oxley hall , 1712 neil ave columbus , oh 43210-1298 , usa . for a slightly different approach , tony woodbury recommended papers in the following : mclemore , cynthia , and mark liberman , eds . 1992 . proceedings of the ircs workshop on prosody in natural speech . ircs report no . 92-37 . it is available from : institute for research in cognitive sciences university of pennsylvania philadelphia , pa 19104 malcolm ross suggested looking into the ( quite different , from what little i ' ve seen ) work of david brazil : "" several publications from the u of birmingham english language research unit "" and the following ( easier to get hold of ) book : brazil , coulthard , and johns . discourse intonation and language teaching . london : longman 1980 . finally , ingolf franke suggested looking at the following article : pakosz , m . 1982 . intonation and attitude . lingua 56 , 153-178 . thanks very much to all who responded . burns cooper
",0,
re : 5 . 1468 comparative method,"in response to lloyd anderson 's looooong and interesting disquisition in 5 . 1468 i have the impulse , which i hope the editors of the list will allow , to introduce a light touch ( something i once tried to do at the haas festival conference when discussing my field work , and was excoriated for ) . in reading from lloyd how greenberg had this "" single flexible flap in his notebook bearing the language names , and sheets which he matched up against that to enter data for particular lexical items . this is a mechanism subject to errors . . . "" this brings to mind an anecdote i have heard several times , never daring to ask chas hockett if it were true , in whole or part : when bloomfield was doing menomini , in the 1920s when paper was expensive and linguists were paid even more poorly than now , bloomfield compensated by using each 3x5 slip four times , thus getting maximum entries with minimal use of paper . when his notes were handed on to hockett , in cardboard file boxes of slips all carefully alphabetized , it is said that the movers dropped one box and its slips fell out . . . the rest is best left to imagination , which may be the source of the whole story , for all i know . but i wanted to pass it on in the hope of relieving the tedium i feel from time to time . sorry , folks . yours , karl
",0,
comparative method in syntax,"fritz newmeyer asks if it is legitimate to apply the comparative method in syntax . my answer is yes , but it is more difficult . the main reason why one sees more work on historical-comparative syntax than fifty years ago is that syntax has become much more prestigious in recent decades . i do n't think that there was a shift from a once "" standard "" view that syntactic reconstruction is impossible . bernhard delbrueck 's historical-comparative syntax of indo - european , published a hundred years ago , clearly showed that comparative syntax is both possible and fruitful , but perhaps too difficult to attract many followers . the view that historical-comparative syntax is impossible was defended in some detail in lightfoot 's ( 1979 ) principles of diachronic syntax , but few researchers seem to have been discouraged by lightfoot 's attitude . it is true that latin syntax could hardly be reconstructed from modern romance languages , but neither could latin morphology , and even the view of latin phonology that we would get from romance is very distorted . our reconstruction of protolanguage grammar is always imperfect , but that is no reason not to attempt reconstruction . the main error on lightfoot 's side is that there is no syntactic analog to the regularity of sound change . it 's just a bit more complicated in syntax - - just like syntax is more complicated overall than phonology . basically , the analog to phonemes and words are words and sentences . true , the difference between words and sentences is that in general sentences are not stored in the lexicon . but neither are many complex words ( rendering morphological reconstruction similarly difficult , but nobody seems ever to have objected to morphological reconstruction ) , and some sentences are actually stored , e . g . proverbs and idioms , which often show syntactic archaisms . and since earlier syntax often survives in "" fossilized "" form in later morphology , we have another rich source of data for diachronic syntax . in addition to regularity of change , we need general principles of change for plausible reconstruction , e . g . phonological principles that predict likely changes like assimilation , lenition , segment loss , etc . in syntax , similar principles of change exist as well : spatial nouns become spatial adpositions , certain general verbs become tense and aspect markers , allative case markers become dative case markers , purposive verb forms become infinitives , etc . all these processes ( instances of grammaticalization ) are irreversible changes and provide safe guides for linguists seeking to make sense of daughter language diversity by reconstructing a proto-syntax . the massive regularities of grammaticalization are generally ignored in generative studies of syntactic change ( indeed , lightfoot argues that there are no genuine principles of diachronic syntax ) , but if one takes them into account , they help in the difficult task of reconstruction . martin haspelmath ( free university of berlin )
",0,
comparative method,"just as morris halle once pointed out that any phonological system could be analyzed as having two phonemes , so too it seems clear that any two languages , related or not , could have a reconstruction done for them , involving both a set of correspondences among the words or morphemes and a comparative grammar . and just as in fact a phonology with only two phonemes would be just a formal excersise and not a real phonology , so too the "" reconstruction "" i am referring to would have no validity unless the languages really are related ( or in the case of mixed languages , unless the relevant parts were related ) . but the formal possibility is important to the following extent : it shows that we cannot assume that the ability to write a comparative grammar is either necessary or sufficient for showing that the languages in question are related . it is the ability to write a convincing comparative gramm ` r that is significant here , but by the same token language relatedness can be sjown by establishing a convincing set of correspodences between suitable sets of words or morphemes of the languages being compared . i will even conceded that it is harder , in general , to be convincing in the case of a comparative grammar than it is in the case of a set of correspondences ( since the former would seem to include the latter plus a lot more ) . but what no one has yet shown here or anywhere else is that the only way to establish language relatedness is by writing a complete comparative grammar , and even meillet conceded by 1925 that you cannot even demand a fragment of a grammar because there are perfectly well-established families where this either has not been or indeed cannot be done . it is another matter 9and ultimately a more interesting one ) that significant amount of grammatical comparison ( though not a whole grammar ) has been offered for nostratic ( a theory i find likely though perhaps not yet established ) as well as for amerind ( a theory which i find basically as unsupported as do karl and victor , for example ) . and it is perhaps not uninteresting that illich - svitych proposed to write a nostratic comparative grammar but never did , much as sapirpromised to write one for uto - aztecan but failed to ( though we should in all fairness note that sapir lived for another two decades , whereas illich - svitych died without even finishing the lexical and morphemic comparisons which are the bulk of the evidence that we have in the public domain for nostratic ) . this is no criticism of sapir , of course , if we agree that there was no need to write a comparatve grammar of uto - aztecan in order for everybody to be able to see that the uto - aztecan languages are related . just as there is no need for this in the case of nostratic 9and indeed given the age of proto - nostratic , if there was such a language , it seems unlkikely that we will ever have more than a very partial grammar
",0,
,"bibliographies campe , petra . case , semantic roles , and grammatical relations . a comprehensive bibliography . john benjamins 1994 vii , 644 pp . ling . theory cloth : us : 1 55619 675 x / eur : 90 272 2811 6 us $ 125 . 00 / hfl . 225 , - - this bibliography presents the multi-dimensionality of the research into case and case-related phenomena . this includes not only morphological case-markers , but also the cross-constituent ( semantic and grammatical ) relations expressed by morphological case or by its various counterparts ; morpho-syntactic processes such as transitivity and passivization ; and pragmatic and textual considerations . in addition , the bibliography reflects the implications of case researchc for other disciplines , such as foreign language teaching and artificial intelligence . more than 6000 publications are presented in the author index . also included are a subject index , a language index and a guide to the relevant languages and language families kess , joseph f . and tadao miyamoto ( university of victoria ) japanese psycholinguistics . a classified and annotated research bibliography john benjamins 1994 xii , 355 pp . bibliographies hb : us : 1 55619 254 1 / eur : 90 272 3750 6 us $ 89 . 00 / hfl . 160 , - - this classified and annotated research bibliography is an useful introduction to the rich field of japanese psycholinguistics , providing an exhaustive inventory of what has been done in or about japanese in a psycholinguistic sense . the annotations for each entry have been especialiy written for this bibliographic inventory , and with the linguist , psychologist , and psycholinguist specifically in mind . the authors ' intention is to maximize the usefulness of such an inventory by preparing annotations for the interested reader who wishes to know not only what the article contains but where it fits in the research tradition . library and information sources in linguistics , 24 nevis , joel a . , brian d . joseph , dieter wanner and arnold m . zwicky . clitics . a comprehensive bibliography 1892-1991 john benjamins 1994 . xxxviii , 274 pp . bibliographies hb : us : 1 556i9 252 5 / eur : 90 272 3748 4 us $ 69 . 00 / hfl . 125 , - - provides an alphabetical listing of over 1500 articles , books , and dissertations that treat in some way the topic of clitics and related matters , e . g . affixes , words , word order , movement , sandhi , etc . each entry is accompanied by a series of descriptors which give an indication of the content of the item . nearly one-third of the book is a detailed analytic index , based on the descriptors , which can aid in topical searches for relevant material . prefatory matter includes an essay "" what is a clitic ? "" by arnold m . zwicky , a brief consideration of jacob wackernagel , the first author on this topic , by brian d . joseph , and information on the format and use of the book itself . library and information sources in linguistics , 22 niederehe , hans-josef ( university of trier , germany ) . bibliografia cronolsgica de ling | mstica , la gramatica y la lexicografia del espaqol ( bicres ) . desde los principios hasta el aqo 1600 john benjamins 1994 . vi , 457 pp . bibliographies hb : us : 1 55619 612 1 / eur : 90 272 4563 0 us $ 100 . 00 / hfl . 190 , since the publication of the still very valuable biblioteca histsrica de la filologma castellana by cipriano muqoz y manzano , conde de la viqaza , ( madrid , 1893 ) , our knowledge of the history of the study of the spanish language has grown considerably . it is the purpose of the present bibliography to bring already available bibliographical information together with the more recent research findings , scattered in many places , books and articles , published during the past one hundred years , in an exhaustive as possible manner . studies in the history of the language sciences , 76 writing systems ancient scripts and phonological knowledge d . gary miller ( university of florida ) this study investigates the properties of several ancient syllabic and linear segmental scripts to make explicit the aspects of linguistic knowledge they attempt to represent . some recent experimental work suggests that nonliterate speakers do not have segmental knowledge and that only syllabic knowledge is real or accessible , whence the ubiquity of syllabaries . miller disputes this by showing that such tests do not distinguish relevant types of knowledge , and that linguistic analysis of the ordering and writing conventions of early western scripts corroborates the evidence from language acquisition , use , and change for segment awareness . by coding segments , the ancient syllabaries represented more phonological knowledge than the alphabet , which was a poor compromise between the vowelless west semitic scripts and the vowel-redundant syllabic scripts . current issues in linguistic theory , 116 1994 . xvi , 139 pp . hb 1-55619 - 570 - 2 $ 35 . 00 history of ling theory groups and the study of language in north america . a social history . stephen o . murray ( el instituto obregsn , san francisco ) this is a detailed social history of north american linguistic traditions and "" revolutionary "" challenges to them , covering the last century and a half . in particular , the book traces the relatively recent growth of generative syntax out of neo - bloomfieldian structuralism , under the nurturing ( contrary to popular myth ) of powerful "" gatekeepers "" like language editor bernard bloch . although focusing on groups , murray resurrects many of the forgotten writers on language in society who were not participants in schools or theory groups . moreover , he formulates a theory of the social basis for claims of "" scientific revolution "" , and provides a suggestive analysis of why some approaches succeeded while others failed in the continuing and often rhetorically violent contention in linguistics . includes a 74 - page bibliography . studies in the history of the language sciences , 69 1994 xxi , 596 pp . hb : 1-55619 - 364 - 5 $ 110 . 00
",0,
re : 5 . 1370 can the comparative method be applied to syntax ?,"i would add to fritz newmeyer 's caveats about limitations to syntactic reconstruction these fairly obvious two : 1 . for many syntactic dimensions , the choices are so few that chance resemblances are so probable as to obscure the evidence of common ancestry . 2 . there is consideration non-arbitrariness in syntactic systems , so that , again , resemblance arises from other than common ancestry . larry gorbet lgorbet @ mail . unm . edu anthropology & linguistics depts . ( 505 ) 883-7378 university of new mexico albuquerque , nm , u . s . a .
",0,
books and articles on cd-rom,"this text is also available in german ( see below ) dear linguist readers throughout the last years the working conditions of many scientists have been profoundly changed through the introduction of modern data processing technology . almost every workplace is being equipped with a computer which , after hours or even days of patiently getting acquainted with the working procedure of these tools , constitutes an enormous advantage . this advantage especially shows in the ever more efficient saving , processing , and transferring of data . thus , as early as today , most of the manuscripts of books , articles , diplomas , and master 's theses are being processed through word processing programmes and are eventually available as a computer file . besides word processing , both newer , more rapid processors and more efficient programmes also make possible an ever higher integration of images , image sequences and sound recordings into a written text . accordingly , a phonetic transcription of an experiment can contain , in addition to the text , not only a recording of the language but also photographs of the articulating organs , such as mouth and upper jaw . that allows the experiment to be followed much more easily and also to be conducted by other scientists from a different view point . in addition to saving how the research work is done , it is also possible to save the subject of the research on any kind of storage media . in order to archive the amount of data resulting from this particular combination of text , sound and images , the compact disc ( cd ) has come more and more into fashion as the perfect storage medium . today , many publications are already available on cd . besides the possibility of a multi-media presentation of knowledge , the cd has one more advantage : because of the low production costs of a cd and its huge storage capacity , more publications of scientists can be made available than is currently possible in journals and books . at this point , the possibility emerges for young scientists as well as for renowned ones to publish their works that have up to now tended to disappear in some drawer because of either the publishing costs or a "" not-a - chance "" notion . with this as a background , i would like to begin a survey to determine to what extent the linguists of all fields might have interest in the following questions : 1 . ) is multi-media technology commonly accepted ? do linguists prefer traditional print media , or is there any interest in accepting knowledge from the computer screen ? 2 . ) is there any interest in publishing works which contain not only text but also images and sound ? what ideas are there on how to publish these scientific works ? 3 . ) who has experience using cds in the field of linguistics ? this survey is intended to serve as a basis for developing a concept for a new enterprise in the media services sector , which should provide next year 's young linguistically oriented post-graduate students a platform from which to work independently . i would like to thank you in advance for your answers and ideas . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ liebe linguist leser , in den letzten jahren hat sich die arbeitswelt vieler wissenschaftler durch die einfuehrung moderner techniken der datenverarbeitung grundlegend geaendert . fast jeder arbeitsplatz ist mit einem computer ausgestattet , der nach einigen geduldigen stunden und tagen des kennenlernens der wirkungsweise dieser geraete , einen enormen arbeitsvorteil darstellt . dieser vorteil besteht insbesondere in der mehr und mehr komfortableren erfassung , verarbeitung und weitergabe von daten . so werden die meisten niederschriften von buechern , artikeln , diplom - und magisterarbeiten bereits heute durch textverarbeitungsprogramme bearbeitet und liegen letztendlich als eine datei vor . neue und schnellere rechner sowie leistungsfaehigere programme machen neben der bearbeitung von text auch mehr und mehr eine integration von bildern , bildsequenzen und tonaufnahmen in eine niederschrift moeglich . so kann z . b . eine phonetische niederschrift ueber ein lautsprachliches experiment neben den schriftlichen ausfuehrungen auch die sprachaufnahmen enthalten , aber auch bildaufnahmen der artikulierenden organe , wie mund und unterkiefer ; damit ist dieses experiment besser nachvollziehbar und koennte unter anderen gesichtspunkten von dritten wissenschaftlern ebenfalls durchgefuehrt werden . es ist also moeglich , in vielen faellen neben den ausfuehrungen einer untersuchung , auch den untersuchungsgegenstand auf einen datentraeger zu speichern . um diese mengen an daten , die durch die kombination von text , bild und ton entstehen , zu archivieren , bewaehrt sich immer mehr die cd als speichermedium . viele veroeffentlichungen erscheinen schon heute auf cd . neben der moeglichkeit einer multi - media darstellung von wissen , hat die cd aber noch einen weiteren vorteil : aufgrund der niedrigen herstellungskosten einer cd und der riesigen menge an speicherplatz wird es moeglich , publikationen von mehr wissenschaftlern zu veroeffentlichen , als es mit herkoemmlichen journalen und buechern moeglich ist . hier ergibt sich fuer junge wissenschaftler , aber auch fuer renommierte die moeglichkeit , ihre niederschriften an die oeffentlichkeit zu bringen , die bisher , bedingt durch preis und ` chancenlosigkeit ' , eher in der schublade verschwanden . mit diesem hintergrund versehen , wuerde ich gern eine umfrage starten , inwieweit linguisten aller gebiete ein interesse an folgenden themen zeigen : 1 . ) gibt es eine allgemeine akzeptanz der multi - media technik . greifen linguisten lieber auf traditionell gedruckte literatur zurueck , oder besteht auch ein interesse an der wissensaufnahme durch den bildschirm . 2 . ) interessiert sich jemand fuer eine veroeffentlichung eigener arbeiten , die neben text auch bild und ton enthalten . welche vorstellungen gibt es ueber eine solche art und weise der publikation von wissenschaftlichen arbeiten . 3 . ) wer hat schon erfahrungen in der sprachwissenschaftlichen anwendung von cd 's gesammelt ? diese umfrage steht in dienst einer konzeptentwicklung fuer ein neues unternehmen im medien - dienstleistungsbereich , das fuer jungen , sprachwissenschaftlich orientierten studenten nach abschluss des studiums im naechsten jahr die basis fuer eine eigenstaendige arbeiten bilden soll . bereits im voraus bedanke ich mich fuer ihre antworten und anregungen . ingolf franke zeughausstrasse 31 d-54292 trier germany tel . ( 0651 ) 1 35 10 e-mail : fran2801 @ pcmail . uni-trier . de
",0,
call workshop optionality,"- call for papers - call for papers - call for papers - the research institute for language and speech ( ots ) , utrecht university , organizes a . . . . . workshop on optionality to be held on september 1 - 2 , 1995 . keynote speakers : jane grimshaw ( r",0,
linguistic datasources,"at the request of subscribers , we ' ve been collecting the addresses of linguistic datasources which can be reached through world wide web . these addresses are now available to any of you who have web access on the linguist web server at the following url : http : / / engserve . tamu . edu / files / linguistics / linguist / datasources . html this file is also available , to those of you who read web - linguist , through the "" linguistic datasources "" link . we 'd be delighted to hear any comments anyone would care to make . and if there ' re any addresses we need to add , please let us know what they are . we 'd like to emphasize that we 'd be happy to include sites where individual linguists keep data they would like to make available to their colleagues . since the web allows us to share not merely text , but pictures and sound-recordings , we can now begin an interchange of linguistic information that is of a very different nature from that which was possible in the past . anthony & helen
",0,
german-english automatic translator,"dear fellows , we are looking for an automatic translator of german - english . something to which a user can send texts in one of this languages and receive the translation into the other language . it can be a semi-automatic software where the translation is not ' high-end ' , but with quality enough to save some work to an office secretary . do someone know where to find ( shareware preferably ) such a software ? thanks , a . santos = = adelino santos - fraunhofer institute for computer graphics ( fhg - igd ) dept . of cooperative and hypermedia systems wilhelminenstr . 7 tel : + 49 6151 155239 64283 darmstadt fax : + 49 6151 155299 germany mail : santos @ igd . fhg . de
",0,
